sequencia;arquivo;sample_id;identificador_base;augmentation_id;derivacao;formato;largura_px;altura_px;canais;tamanho_bytes;sha256;natureza_dados
1;ecg_001_1006427285-0001_I.png;1006427285-0001;1006427285;1;I;PNG;490;115;srgb;97633;8e799da0534dbdbb29c4855517da859b626af01a87bc2d0f841a760274c951f5;Derivado e processado pela fonte
2;ecg_002_1006427285-0001_II.png;1006427285-0001;1006427285;1;II;PNG;1962;157;srgb;518584;a24c18bfefd0fdae47560e9dee13a8a5a92771bdaffc3e6fa3637cd716bb8a6d;Derivado e processado pela fonte
3;ecg_003_1006427285-0001_III.png;1006427285-0001;1006427285;1;III;PNG;490;107;srgb;90938;9cf406c54ecdd00aa2398f19bc5656a047ba362873b91a92f2e0de8c14af6800;Derivado e processado pela fonte
4;ecg_004_1006427285-0001_V1.png;1006427285-0001;1006427285;1;V1;PNG;490;255;srgb;208430;04ddefaa10900c538889e0cd8097321ff3c48164b2c989f3717aa7da7b712109;Derivado e processado pela fonte
5;ecg_005_1006427285-0001_V2.png;1006427285-0001;1006427285;1;V2;PNG;490;333;srgb;271166;eeb6eeed16928c2ca9df7a8ed93bccaf273040622762616ece85339316f94946;Derivado e processado pela fonte
6;ecg_006_1006427285-0001_V3.png;1006427285-0001;1006427285;1;V3;PNG;490;315;srgb;259165;301a31ec1932b28b0a60966952734ee35f7fcf9cc5952e5ae52ae1ac835ab6c2;Derivado e processado pela fonte
7;ecg_007_1006427285-0001_V4.png;1006427285-0001;1006427285;1;V4;PNG;492;183;srgb;152816;e80877a8375c9f5407edfc0e59124bc6200f1668014e21c1117c36729e845ee6;Derivado e processado pela fonte
8;ecg_008_1006427285-0001_V5.png;1006427285-0001;1006427285;1;V5;PNG;492;227;srgb;186216;892b341fe214bc68194477bd6c44fc589a669b5184ffa6f78bb7e8c9d9b04a41;Derivado e processado pela fonte
9;ecg_009_1006427285-0001_V6.png;1006427285-0001;1006427285;1;V6;PNG;492;179;srgb;148630;c48f278adf44dc620bcab6cc61e659b9f9e8b0adf469b9e0550625c620536a67;Derivado e processado pela fonte
10;ecg_010_1006427285-0001_aVF.png;1006427285-0001;1006427285;1;aVF;PNG;490;127;srgb;106550;2a57f55381b88b44a514e45b2d75be3c293b676035e540caafbc78308206ad82;Derivado e processado pela fonte
11;ecg_011_1006427285-0001_aVL.png;1006427285-0001;1006427285;1;aVL;PNG;490;69;srgb;57905;e40fa62bc316b3cfbe77f4a3aab00885dd8be298076aa7769b5c30ba9f954c25;Derivado e processado pela fonte
12;ecg_012_1006427285-0001_aVR.png;1006427285-0001;1006427285;1;aVR;PNG;490;127;srgb;106285;1911c473fa97d821c7e993215289fc0459de6648361b9a698011a16b8b8d06a5;Derivado e processado pela fonte
13;ecg_013_1006427285-0003_I.png;1006427285-0003;1006427285;3;I;PNG;490;119;srgb;93851;b035e8ccb80ece3d14c8c03f0b51be0bf50857cfacd7fd95b9a2c901dfca7dcc;Derivado e processado pela fonte
14;ecg_014_1006427285-0003_II.png;1006427285-0003;1006427285;3;II;PNG;1962;155;srgb;485691;5575a03463e489077e720e8cb5e0a1ee79808873c2e6d08abb5c83695f5fdf4b;Derivado e processado pela fonte
